@actorNr,@from,Denomination,StreetName,StreetNum,Postcode,City,CountryCode,Language,LegalForm,Building,Phone,Postbox,AuthorisationNr,VatNr,Website
06515,1960-01-01,Alvetra U. Werfft,Boltzmanngasse,11,A-1091,Vienna,AT,DE,GmbH,,,,,,
06516,1960-01-01,Richter Pharma,Feldgasse,19,4600,Wels,AT,DE,AG,,,,,,
06517,1960-01-01,Croma-Pharma,Industriezeile,6,2100,Leobendorf,AT,DE,GmbH,,,,,,
06518,1960-01-01,Planta Natural Products,Erlgasse,48,1120,Wenen,AT,DE,,,,,,,
06519,1960-01-01,Baxalta Innovations,Industriestrasse,67,A-1221,Vienna,AT,DE,GmbH,,,,,,
06520,1960-01-01,Genericon Pharma,Hafnerstrabe,211,8054,Graz,AT,DE,GmbH,,,,,,
06521,1960-01-01,G.L Pharma,Schlossplatz,1,8502,Lannach,AT,DE,GmbH,,,,,,
06522,1960-01-01,Ever Neuro Pharma,Oberburgau,3,4866,Unterach,AT,DE,GmbH,,,,,,
06523,1960-01-01,Valneva Austria,Biocenter,3,1030,Vienna,AT,DE,GmbH,Vienna Campus,+43 1 206 20 1339,,,,www.valneva.com
06700,1960-01-01,Vian,Tatoiou Str.,,14671,Nea Erithrea,EL,EN,SA,,,,,,
06701,1960-01-01,Specifar,Octovriou Str.,1,12351,Athenes,EL,EN,SA,Ag. Varvara,,28,,,
06702,1960-01-01,Vianex,Athens Lamia Rd,18,14671,Nea Erythrea,EL,EN,SA,Tatoiou Str,,,,,
06703,1960-01-01,Pharmathen,Dervenakion Str.,6,15351,Pallini-Attiki,EL,EN,SA,,,,,,
06704,1960-01-01,Dival Classics,Kikladon Str,2A,17124,N. Smirni,EL,EN,SA,,,,,,
06705,1960-01-01,Alet Pharmaceuticals,Aidiniou Str.Haida,26,12461,Athenes,EL,EN,SA,Att. Christos Papathanasiou,,,,,
06706,1960-01-01,Pharmabide,Lakonias Street,20,15234,Athenes,EL,EN,Ltd,Chalandri,,,,,
06707,1960-01-01,Pharos-Pharmaceutical Oriented Services,Marathonos Ave,87,15351,Pallini Attikis,EL,EN,,Salaminas Str,,,,,
06708,1960-01-01,Lavipharm,Agias Marinas Str,,19002,Peania-Athene,EL,EN,SA,,,,,,
06709,1960-01-01,Vaia,Octovriou Str,1,12351,Ag.Varvara,EL,EN,SA,Periklis Vasilopoulo,,28,,,
06710,1960-01-01,Elpen Pharmaceutical Co.,Marathonos Ave.,95,19009,Pikermi Attica,EL,EN,Inc,,,,,,
06800,1960-01-01,Noridem Enterprises,Mitsi Building 3,115,1065,Nicosia,CY,EN,Ltd,Evagorou & Makariou -,,,,,
06801,1960-01-01,Pharos Generics,Pikioni Str,4,3075,Limassol,CY,EN,Ltd,,,,,,
07000,1960-01-01,Benzon Pharma,Helseholmen,1,2650,Hvidovere,DK,EN,as,,,1185,,,
07002,1960-01-01,Novo Nordisk,Novo Alle,,2880,Bagsvaerd,DK,EN,A/S,,,,,,
07003,1960-01-01,Ercopharm,Bogeskovvej,9,3490,Kvistgard,DK,EN,as,,,,,,
07004,1960-01-01,Lundbeck,Ottiliavej,9,2500,Kobenhavn-Valby,DK,EN,as,,,,,,
07005,1960-01-01,S.S.I.-Serum Stateninstituut,Artillerevej,5,2300,Kopenhagen,DK,EN,,,,,,,
07006,1960-01-01,Pharmacosmos,Roervangsvej,30,7215,Holbaek,DK,EN,as,,,,,,
07008,1960-01-01,Coloplast Consumer Products,Egevangen,4,2980,Kokkedal,DK,EN,,,,,,,
07009,1960-01-01,Billev Pharma,Elmegardsveg-Torslev,1A,3630,Jaegerspris,DK,EN,ApS,,,,,,
07010,1960-01-01,Vetxx,Mekuvej,9,7171,Uldum,DK,EN,as,,,,,,
07011,1960-01-01,Pharma Nord,Sadelmagervej,30-32,7100,Vejle,DK,EN,ApS,,,,,,
07012,1960-01-01,Artropharm,Dampfaergevej,3,2100,Kopenhagen,DK,EN,ApS,C/O Amicorp Denmark A/S,,,,,
07013,1960-01-01,Mekos Laboratories,Herredsvejen,2,3400,Hillerod,DK,EN,as,,,,,,
07014,1960-01-01,Nycomed Danmark,Langebjerg,1,4000,Roskilde,DK,EN,ApS,,,,,,
07016,1960-01-01,Alk-Abello,Boge Alle,6-8,2970,Horsholm,DK,EN,as,,,,,,
07017,1960-01-01,Jacobson Pharma,Norre Havnegarde,108,6400,Sonderborg,DK,EN,as,,,,,,
07018,1960-01-01,Pharmanovia,Jaegersborg Alle,164,2820,Gentofte,DK,EN,A/S,,,,,,
07019,1960-01-01,Ferring Pharmaceuticals,Kay Fiskers Plads,11,2300,Copenhagen,DK,EN,as,,,,,,
07020,1960-01-01,Stragen Nordic,Helsingørsgade,8C,3400,Hillerød,DK,EN,as,,,,,,
07021,1960-01-01,Arrow,Smedeholm,13A,2730,Helev,DK,EN,ApS,,,,,,
07022,1960-01-01,Velin Pharma,Kongevejen,66,3480,Fredensborg,DK,EN,as,,,,,,
07023,1960-01-01,Novartis Healthcare,Lyngbyvej,172,2100,Copenhagen,DK,EN,as,,,,,,
07024,1960-01-01,Iwa Consulting,Olby Center,7,4600,Koge,DK,EN,ApS,,,1,,,
07025,1960-01-01,Dechra Veterinary Products,Mekuvej,9,7171,Uldum,DK,EN,as,,,,,,
07026,1960-01-01,Pharmanovia,Jaegersborg Alle,164,2820,Gentofte,DK,EN,as,,,,,,
07027,1960-01-01,Medilink,Gammelmosevej,176A,2800,Lyngby,DK,EN,as,,,,,,
07028,1960-01-01,Takeda Pharma,Langebjerg,1,4000,Roskil De,DK,EN,A/S,,,,,,
07500,1960-01-01,Ge Healthcare,Nycoveien,1-2,401,Oslo,NO,EN,as,P.O Box 4220,,,,,
07503,1960-01-01,Photocure,Hoffsveien,48,377,Oslo,NO,EN,SA,,,,,,
07504,1960-01-01,Navamedic,Fornebuveien,42-44,1327,Lysaker,NO,EN,ASA,Po Box 107,,,,,
07505,1960-01-01,Farmaplus,Sorkedalsveien,10B,369,Oslo,NO,EN,as,,,,,,
08000,1960-01-01,Sipaco Internacional,Avenida 5 de Ourubro,267,1600,Lisboa,PT,EN,,,,6,,,
08001,1960-01-01,Defiante Farmaceutica,Rua Dos Ferreiros,260,9000-082,"Funchal, Madeira",PT,EN,SA,,,,,,
08002,1960-01-01,Virbac De Portugal-Laboratorios,"Escritório, Quinta da Beloura",3,2710-693,Sintra,PT,EN,lda,"Rua do Centro Empresarial, Edifício 13, piso 1,",,,,,
08003,1960-01-01,Hikma Farmaceutica,Fervenca,,2705-906,Terrugem,PT,EN,SA,"Estrada Do Rio Da Mo,8,8A,8B -",,,,,
08004,1960-01-01,Laboratorios Anova,Rua Alfredo Da Silva,,1300-040,Lisboa,PT,EN,,,,,,,
08005,1960-01-01,Bial - Portela & Ca,Avenue Da Siderurgia Nacional,,4745-457,S.Mamede Do Coronado,PT,EN,SA,,,,,,
08006,1960-01-01,"Farma Aps,Produtis Farmaceuticos",Rua Joao Do Deus,19,2700-487,Amadora,PT,EN,SA,Venda Nova,,,,,
08007,1960-01-01,Om Pharma (Portugal),Rua da Industria,2,2610-088,"Lisboa, Amadora",PT,EN,SA,Quinta Grande,,,,,
08008,1960-01-01,Ipca Produtos Farmaceuticos Unipessoal,Rua Jose Nogueira Vaz Lote,104,2625-099,Povoa de Santa Iria,PT,EN,lda,,,,,,
08009,1960-01-01,"Abdi Farma,Unipessoal",Rua Dos Malhoes,,2770-071,Paco Arcos,PT,EN,lda,Quinta Da Fonte,,,,,
08010,1960-01-01,Laboratorios Basi-Industria Farmaceutica,Parque Industrial Manuel Lourenço Ferreira,Lote 1,3450-232,Mortágua,PT,EN,SA,,,,,,
08500,1960-01-01,Menarini Lab.,Alfonso XII,587,8918,Badalona,ES,EN,SA,,,,,,
08501,1960-01-01,Laboratorios Hipra,Avda La Selva,135,17170,Amer(Girona),ES,EN,SA,,,,,,
08507,1960-01-01,Synthon Hispania,Castello,1,8830,Sant Boi,ES,EN,SL,Poligono Las Salinas,,,,,
08508,1960-01-01,Chemo Iberica,Gran Via Carlos III,98 7th,8028,Barcelona,ES,EN,SA,,,,,,
08509,1960-01-01,Laboratorios Liconsa,Gran Via Carlos III,98,08028,Barcelona,ES,EN,SA,,,7th,,,
08510,1960-01-01,Industrial Veterinaria,Esmeralda,19,8950,Llobregat Barcelona,ES,EN,SA,Esplugues De,,,,,
08511,1960-01-01,Instituto Grifols,Can Guasch,2,8150,Barcelona,ES,EN,SA,Parets Del Valles,,,,,
08512,1960-01-01,Pharma Mar,Avda.De Los Reyes,1,28770,Colmenar Viejo,ES,EN,SA,Poligono Ind.La Mina,,,,,
08514,1960-01-01,Novartis Sanidad Animal,Calle de la Marina,,8013,Barcelona,ES,EN,SL,,,,,,
08515,1960-01-01,Almirall,Ronda General Mitre,,8022,Barcelona,ES,EN,SA,,,,,,
08516,1960-01-01,Laboratorios Hipra DELETED,Avda. La Selva,135,17170,Amer (Girona),ES,EN,SA,,,,,,
08517,1960-01-01,Vetpharma Animal Health,Les Corts,23,8028,Barcelone,ES,EN,SL,,,,,,
08519,1960-01-01,Cz Veterinaria,La Relva S/N,,36400,Porrino,ES,EN,SA,,,,,,
08520,1960-01-01,Laboratorios Karizoo (Es),"Pol. Ind. La Borda, Mas Pujades",11-12,8140,Bui-(Barcelona),ES,EN,SA,Caldes De Mont,,,,,
08521,1960-01-01,Laboratorios Dr Esteve,De Montserrat,221,8041,Barcelona,ES,EN,,Avda.De Mare De Deu,,,,,
08522,1960-01-01,Tamarang,Balmes,84,8008,Barcelona,ES,EN,SA,,,4-2A,,,
08523,1960-01-01,Divasa-Farmavic,Po Box,79,8503,Gurb-Vic,ES,EN,SA,"Ctra Sant Hipolit, Km 71",,,,,
08524,1960-01-01,Laboratorios León Farma,C/ la Vallina S/N,,24008,Navatejera,ES,EN,SA,Poligono Industrial Navatejera,,,,,
08525,1960-01-01,Optimal Regulatory Solutions (Ors),Via Augusta,49,8006,Barcelona,ES,EN,SL,,,104,,,
08526,1960-01-01,Miklich Laboratorios,Edificio Picasso,,29004,Malaga,ES,EN,SL,"Cuevas Bajas, S/N - Of.23",,,,,
08527,1960-01-01,S.P. Veterinaria,Apartado de Correos,,43330,Riudoms,ES,EN,SA,"Ctra.Reus-Vinyols, Km 4.1.- 60",,,,,
08529,1960-01-01,Continental Farmaceutica (Spain),Par.Emp.La Moraleja,,28108,Alcobendas,ES,EN,SL,Avenida De Europa 20 B,,,,,
08530,1960-01-01,Laboratorios Inibsa,Ctra. Sabadell A Granollers km. 14,5,8185,"Lliçà De Vall, Barcelona",ES,EN,SA,,,,,,
08531,1960-01-01,Distriquimica,Avda. Mare de Dèu,,8041,"Montreal, Bajo, Barcelona",ES,EN,SA,,,,,,
08532,1960-01-01,Global Vet Health,Poligono Agro-Reus,,43206,Reus,ES,EN,SL,C/Capçanes 12-Bajos,,,,,
08533,1960-01-01,Hetero Europe,Catalunya,83-85,8840,Viladecans-Sp,ES,EN,SL,Viladecans Bus.Park,,,,,
08534,1960-01-01,Labiana Life Sciences,"Venus, Can",26,8228,"Terrassa, Barcelona",ES,EN,SAU,Parellada,,,,,
08535,1960-01-01,GP-Pharm,Poligon Industrial Vinyets-Els Fogars,2,08777,Sant Quinti de Mediona,ES,EN,SA,Ctra Comercal C-244 km 22,,,,,
09000,1960-01-01,Santen,Niittyhaankatu,20,33720,Tampere,FI,EN,Oy,,,,,,
09001,1960-01-01,Orion Corporation,Orionintie,1,2200,Espoo,FI,EN,,,,,,,
09002,1960-01-01,Vet Medic,Pi,27,13721,Parola,FI,EN,Oy,,,,,,
09003,1960-01-01,Vetcare,PO Box 99,,24101,Salo,FI,EN,Oy,,,,,,
09004,1960-01-01,Orion Corporation DELETED,PO Box 65,,2101,Espoo,FI,EN,,,,,,,
09200,1960-01-01,"Krka, D.D. Novo Mesto",Smarjeska Cesta,6,8501,Novo Mesto,SI,EN,,,,,,,
09201,1960-01-01,"Galex, D.D.",Tisinska Ulica,29G,9000,Murska Sobota,SI,EN,,,,,,,
09202,1960-01-01,Hygia Novo Mesto,Foersterjeva Ulica,10,8000,Novo Mesto,SI,EN,doo,,,,,,
09500,1960-01-01,Biokema Anstalt,Pflugstrasse,12,9490,Vaduz,LI,DE,,,,,,,
09550,1960-01-01,Actavis Group Ptc Ehf,Reykjavikurvegur,76-78,220,Hafnarfjordur,IS,EN,,,,,,,
09551,1960-01-01,Medis Ehf. (Is),Reykjavikurvegur,76-78,220,Hafnarfjordur,IS,EN,,,,,,,
09552,1960-01-01,Nucleus Ehf,Naustanesi,,116,Reykjavik,IS,EN,,,,,,,
09600,1960-01-01,Ivax Pharmaceuticals,Ostravska,29,747 70,Opava 9,CZ,EN,SRO,,,,,,
09601,1960-01-01,Glenmark Pharmaceuticals,Hvezdova,1716,140 78,Praha 4,CZ,EN,SRO,City Tower,,2B,,,
09602,1960-01-01,ELC Group,Nenacovice,90,26 601,Beroun,CZ,EN,SRO,,,,,,
09603,1960-01-01,Archie Samuel,Slunna,16,61700,Brno,CZ,EN,SRO,,,,,,
09604,1960-01-01,Mecdreg,Krcmarovska,223,19600,Prague,CZ,EN,SRO,,,33,,,
09700,1960-01-01,Gedeon Richter,Gyomroi Ut,19-21,1103,Budapest,HU,EN,Plc,,,,,,
09701,1960-01-01,Itf Pharma Kereskedelmi Es Szolgaltato,Duna,U14,1056,Budapest,HU,EN,,,,,,,
09702,1960-01-01,Lavet Pharmaceuticals,Otto,U14,1161,Boedapest,HU,EN,Ltd,,,,,,
09800,1960-01-01,Pharmagal-Bio (Sk),Murgasova,5,94901,Nitra,SK,EN,Spol Sro,,,,,,
09900,1960-01-01,Zaklad Farmaceutyczny Pharma,Ul.Szkolna,33,95-054,Ksawerow,PL,EN,SA,,,,,,
09901,1960-01-01,Pharmaceutical Works Polpharma,Pelplinska Str,19,83-200,"Starogard, Gdanski",PL,EN,SA,,,,,,
09902,1960-01-01,Symphar Sp.Zo.O.,Rue de Wloska,1,00-777,Varsovie,PL,EN,,,,,,,
00003,1960-01-01,Archilux Lab,Route D`Ettelbruck,,,Beringen-Mersch,BE,FR,SARL,,,,,,
00008,1960-01-01,Propharma,Erpeldange,,,Ettelbruck,BE,FR,,,,,,,
00032,1960-01-01,Prodiba,Rue Aldringer,23,,G.D. Du Luxembourg,BE,FR,,,,,,,
00131,1960-01-01,Comptoir Pharm. Luxemb.,Rue Mercier,23,,Luxembourg (G.D.),BE,FR,SA,,,,,,
00728,1960-01-01,Comptoir Pharm.Luxembourgeois,PO Box,84,,Schifflang/G.D.Lux.,BE,FR,SA,,,,,,
00729,1960-01-01,Pharma Goedert,Zoning Hirebusch,,,Capellen/G.D. De Lux,BE,FR,SA,,,,,,
02547,1960-01-01,Medimpex France,Rue Caumartin,1-3,,Paris,FR,FR,SA,,,,,,
02550,1960-01-01,Debioclinic,Rue du Nouveau Bercy,2,,Charenton Le Pont,FR,FR,SA,,,,,,
02554,1960-01-01,Lab. Besins International,Rue du Bourg L'Abbe,,,Paris,FR,FR,,,,,,,
02558,1960-01-01,Laboratoires Thea,Rue Louis Bleriot,,,Clermont-Ferrand,FR,FR,,,,,,,
02565,1960-01-01,Advanced Accelerator Applications,Rue Diesel,20,-,Saint-Genis-Poully,FR,FR,,,,,,,
03050,1960-01-01,Banner Pharmacaps,PO Box,5037,,Tilburg,NL,NL,BV,,,,,,
03564,1960-01-01,Dr. Falk Pharma,Leinenwelvestrasse,,,Freiburg,DE,DE,GmbH,,,,,,
03565,1960-01-01,Biotest Pharma,Landsteinerstrasse,5,,Dreieich,DE,DE,GmbH,,,,,,
03575,1960-01-01,ZLB,Eldagsenerstrasse,,-,Springe,DE,DE,GmbH,,,,,,
03576,1960-01-01,B.Braun Avitum,Schwarzenberger Weg,73-79,,Melsungen,DE,DE,AG,,,,,,
03578,1960-01-01,Beiersdorf,Unnastrasse,,,Hamburg,DE,DE,AG,,,,,,
03579,1960-01-01,Dr Regenold,Am Berg,4,,Badenweiler,DE,DE,GmbH,,,,,,
03582,1960-01-01,A.E. Tiefenbacher,Van-Der-Smissen-Str.,1,22767,Hamburg,DE,DE,GmbH &amp; Co KG,,,,,,
03587,1960-01-01,G. Pohl Boskamp,Kielerstrasse,11,,Hohenlockstedt,DE,DE,GmbH &amp; Co KG,,,,,,
03588,1960-01-01,Pulsion Medical Systems,Joseph-Wild-Strasse,20,81829,München,DE,DE,AG,,,,,,
03680,1960-01-01,Fair-Med Healthcare,Planckstrasse,13,22765,Hamburg,DE,DE,GmbH,,+ 49 40 300 856 78 - 14,,,,www.fair-med.eu
04005,1960-01-01,"Molteni,L.& C Dei F.Lli Alitti S.D.E.",Strada Statale,67,,Scandicci / Firenze,IT,EN,,Localita Granatieri,,,,,
04007,1960-01-01,Fatro,Via Emilia,285,,Bologna,IT,EN,SpA,Ozzano Emilia,,,,,
04008,1960-01-01,Ibsa Farmaceutici Italia,Via Martiri di Cefalonia,2,26900,Lodi,IT,EN,Srl,,,,,,
04012,1960-01-01,Teofarma,Via Flli Cervi,8,,Valle Salimbene,IT,EN,Srl,,,,,,
04500,1960-01-01,Clonmel Healthcare,Waterford Road,,,Clonmel Co.Tipperary,IE,EN,Ltd,,,,,,
04502,1960-01-01,Organon (Ireland),Swords,,,Dublin,IE,EN,Ltd,P O Box 2857 Dryham Road 0,,,,,
04503,1960-01-01,Elan Pharma International,Lower Grand Canal St,2,,Dublin,IE,EN,Ltd,Treasury Building,,,,,
04504,1960-01-01,Norbrook Laboratories,Camlough Road,,,Newry,IE,EN,Ltd,Station Works Bt35 6 Jp,,,,,
04506,1960-01-01,Allergan Sales,Ballsbridge,,,Dublin 4,IE,EN,Ltd,Sweepstakes Centre,,,,,
04508,1960-01-01,Elan Pharma International  DELETED,Siness Park-Shannon,,-,County Lake,IE,EN,Ltd,Wil House-Shannon Bu,,,,,
04510,1960-01-01,Howmedica International,"Estate, Raheen",,,Limerick,IE,EN,Srl,Raheen Industrial,,,,,
04511,1960-01-01,Cyclomedica Ireland,Ballymount,,/,Dublin,IE,EN,Ltd,Unit A5 Calmount Business Park,,12,,,
04512,1960-01-01,Pinewood Healthcare (Laboratories),Ballymacarbry,,-,"Clonmel, Co Tipperary",IE,EN,Ltd,,,,,,
04513,1960-01-01,Cross Vetpharm Group,Broomhill Road Tallaght,,,Dublin,IE,EN,,,,,,,
04515,1960-01-01,Krka Pharma Dublin,"Stokes Place, St Stephens Green",,,Dublin,IE,EN,Ltd,,,,,,
04516,1960-01-01,Nicobrand,Casteroe Road,189,,Coleraine,IE,EN,Ltd,Bt51 3 Rp,,,,,
04517,1960-01-01,Amdipharm,Burlington Road,3,,Dublin 4,IE,EN,Ltd,Temple Chambers,,,,,
04518,1960-01-01,Helsinn Birex Pharmaceuticals,Mulhuddart,15,,Dublin,IE,EN,Ltd,Damastown,,,,,
04519,1960-01-01,Solstice Neurosciences,Fitzwilton House,,,"Wilton Place, Dublin",IE,EN,Ltd,,,,,,
04520,1960-01-01,Janssen R&D Ireland,"Eastgate, Little Island",,-,Co Cork,IE,EN,,Eastgate Village,+ 353 21 4673500,,,,
04521,1960-01-01,Pharmasearch,Road Loughrea,,,Co Galway,IE,EN,Ltd,Ida Industrial Estate Dublin,,,,,
04522,1960-01-01,Monarch Pharmaceuticals Ireland,Ballsbridge,4,,Dublin,IE,EN,,"Alexandra House,The Sweepstake",,,,,
04523,1960-01-01,Lundbeck Pharmaceuticals Ireland,Lower Pembroke,14,,Street-Dublin 2,IE,EN,Ltd,,,,,,
04524,1960-01-01,Biomarin Europe,Earlsfort Terrace,29,,Dublin 2,IE,EN,Ltd,,,,,,
04525,1960-01-01,Schwarz Pharma,Shannon Industrial Estate,,,Co.Clare,IE,EN,Ltd,,,,,,
04527,1960-01-01,Tercica Europe,Harbourmaster Place,2,,Dublin,IE,EN,Ltd,Internation.Financ. Services Center,,,,,
04528,1960-01-01,Forte Healthcare,Cougar Lane,,,"Naul, Co. Dublin",IE,EN,Ltd,,,,,,
04529,1960-01-01,Rottapharm (Ie),Mulhuddart,,,Dublin,IE,EN,Ltd,Damastown Industrial Park,,,,,
04530,1960-01-01,Bristol Myers Squibb/Gilead Sciences,Carrigtohill,,,County Cork,IE,EN,Ltd,Ida Business & Technology Park -,,,,,
04531,1960-01-01,Ipsen Manufacturing Ireland (Imil),Snugboro Road,,,Dublin 15,IE,EN,Ltd,Blanchardstown Industrial Park,,,,,
04532,1960-01-01,Recordati Ireland,Raheens East,,,Ringaskiddy Co.Cork,IE,EN,Ltd,Raheens East -,,,,,
04533,1960-01-01,Blue Bio Pharmaceuticals,Ballsbridge,,,Dublin 4,IE,EN,Ltd,"7 Th Floor, Hume House -",,,,,
04534,1960-01-01,Servier (Ireland) Industries,"Gorey Road, Arklow, Co",,,Wicklow,IE,EN,Ltd,,,,,,
04535,1960-01-01,Norpharm Regulatory Services,Laurence Street,26,,"Drogheda,Co.Louth",IE,EN,Ltd,,,,,,
04536,1960-01-01,Univet,Tullyvin- Cootehill,,,Co. Cavan,IE,EN,Ltd,,,,,,
04537,1960-01-01,Vale Pharmaceuticals,Gurtnafleur- Clonmel,,,Co. Tipperary,IE,EN,Ltd,Unit 1B Gurtnafleur Business P,,,,,
04538,1960-01-01,Glaxosmithkline Trading Services,Carricaline,,-,County Cork,IE,EN,Ltd,Currabinny,,,,,
04539,1960-01-01,Shire Pharmaceuticals Ireland,Riverside Walk- Citywest,5,,Dublin 24,IE,EN,Ltd,Business Campus,,,,,
04540,1960-01-01,Biolitec Pharma (Ireland),Magna Drive,,,Dublin 24,IE,EN,Ltd,United Drug House,,,,,
04541,1960-01-01,Xeolas Pharmaceuticals,Furry Park Road,97,,Dublin 5,IE,EN,Ltd,Killester,,,,,
04542,1960-01-01,Athlone Laboratories,Ballymurray co,,,Roscommon,IE,EN,Ltd,,,,,,
04543,1960-01-01,Chanelle Medical,Loughrea,,,Galwayea,IE,EN,Ltd,Dublin Road,,,,,
04544,1960-01-01,Shionogi Ireland,Lakeview Drive,145,,Country Dublin,IE,EN,,Airside Bussin.Park,,,,,
04545,1960-01-01,Olympus Biotech International,Naitonal Technology Park,,-,"Castletroy, Limerick",IE,EN,Ltd,Block 2 - International Science Centre,++353 (0)61 58 51 15,,,,www.olympusbiotech.com
04546,1960-01-01,Bioprojet Europe,Earlsford Terrace,29,,El-Dublin 2,IE,EN,Ltd,,,,,,
04547,1960-01-01,Cf Pharma,North Exten,Unit 622,,Waterford,IE,EN,Ltd,,,,,,
04548,1960-01-01,Aspen Pharma Trading,Lake Drive,,3016,Dublin 24,IE,EN,Ltd,Citywest Business Campus,,,,,
04549,1960-01-01,Arthropharm Europe,Bedford Street,50,-,Belfast,IE,EN,Ltd,-,,,,,
04550,1960-01-01,UCB Manufacturing Ireland,Shannon Industrial,,-,Shannon County Clare,IE,EN,Ltd,,,,,,
04551,1960-01-01,Stiefel Laboratories (Ireland),Finisklin Business,,,"Park, Sligo",IE,EN,Ltd,,,,,,
04552,1960-01-01,Fresenius Medical Care  Pharma,Northern,Unit 622,-,"Extension, Co.Waterford",IE,EN,Ltd,,,,,,
04553,1960-01-01,Savient Pharma Ireland,Sussex Road,,-,Dublin 4,IE,EN,Ltd,Mespil House,,,,,
05527,1960-01-01,Bioglan Lab.,,,,"Hitchin, Hertfordshire",UK,EN,Ltd,,,,,,
05531,1960-01-01,Stiefel Labs,Holtspur Lane,,,Wooburn Green,UK,EN,Ltd,,,,,,
05545,1960-01-01,Goldshield Pharm.,Addiscombe Road,12,,Croydon Surrey Cro Oxt,UK,EN,Ltd,,,16,,,
05554,1960-01-01,Heska Uk,George Street,5,,"Teignmouth,",UK,EN,Ltd,P.O. Box 6,,,,,
05555,1960-01-01,Medeva Pharma,Kingstone Road,,,Leatherhead,UK,EN,Ltd,Regent Park,,,,,
05566,1960-01-01,Egis Pharm. Uk,Shirland Road,127,,London,UK,EN,Ltd,,,,,,
05568,1960-01-01,Cell Therapeutics (Uk),Pall Mall,,,London,UK,EN,Ltd,,,,,,
05570,1960-01-01,Generics,Albany Gate Darkes Lane,,,Potter Bar (Herts),UK,EN,Ltd,,,,,,
05575,1960-01-01,Biolitec Pharma,"Research Avenue South, Heriot",,,Edinburgh,UK,EN,Ltd,Watt Research Park,,,,,
05576,1960-01-01,Lilly Icos,New Street Square,,,London,UK,EN,Ltd,,,,,,
05577,1960-01-01,Novartis Ophtalmics Europe,Southwood Crescent,,,"Farnborough,Hants",UK,EN,Ltd,Delta House,,,,,
05578,1960-01-01,Torbet Laboratories,Wendover Road,14,NR13 6LQ,Norwich,UK,EN,Ltd,Rackheath Indstl Est,,,,,
05580,1960-01-01,Lidco,Orsman Road,16,N1 5QJ,London,UK,EN,Ltd,,,,,,
05583,1960-01-01,Women First Healthcare,"Westwood, High Street",,,"Staplehurst, Kent",UK,EN,Ltd,,,,,,
05602,1960-01-01,Cangene Europe,"Station House,Market",,,"Bracknell,Berkshire",UK,EN,Ltd,,,,,,
05607,1960-01-01,Bioenvision,Southwell Park Road,5,,"Camberley, Surrey",UK,EN,Ltd,Bassett House,,,,,
05609,1960-01-01,Encysive (Uk),Noble Street,10,,London,UK,EN,Ltd,Alder Castle House,,,,,
05619,1960-01-01,Neopharma,High Street,57,,Odiham -  Hampshire,UK,EN,Ltd,,,,,,
05624,1960-01-01,Abraxis Bioscience,Wellington Road,,,"Wokingham,Berkshire",UK,EN,Ltd,West Forest Gate,,,,,
05685,1960-01-01,Pharmascope,PO Box 4505,107,,Ashbourne-Co.Meath,UK,EN,Ltd,Ashbourne Ind.Estate,,,,,
06900,1960-01-01,Aurobindo Pharma (Malta),Valletta Waterfront,,FLN 1913,Floriana,MT,EN,Ltd,"Vault - 14, Level 2",,,,,
07007,1960-01-01,Medis-Danemark,Weidekampsgade,6,,Kobenhavn C,DK,EN,as,C/O Deloitte 4W-Fi. Larsen,,,,,
07015,1960-01-01,Topo Target,Fruebjergvej,3,,,DK,EN,as,,,,,,
07502,1960-01-01,Pronova BioPharma Norge,PO Box,420,N-1327,Lysaker,NO,EN,as,,,,,,
08503,1960-01-01,Romikim Farma,Gran Via Carlos III,98,,Barcelona,ES,EN,,,,7th,,,
08504,1960-01-01,Universal Farma,Gran Via Carlos III,98,,Barcelona,ES,EN,SL,,,,,,
08505,1960-01-01,Laboratorios Calier,Barcelonès (El Ramassar),26,08520,Les Franqueses del Vallès(Barcelona),ES,EN,SA,Les Fransueses Del,,,,,
08506,1960-01-01,J. Uriach & Cia,Avgda. Cami Reial,51-57,08184,Plegamans (Barcelona),ES,EN,SA,Palau Solita I,+34 93 8630315,,,,www.uriach.com
08518,1960-01-01,Farmaprojects,Santa Eulalia,240-242,,Hospitalet Llobregat,ES,EN,SA,,,,,,
08528,1960-01-01,Combino Pharm,Sant Joan Despi,8970,,Barcelone,ES,EN,SL,"C/ Fructuos Gelabert, 6-8",,,,,
02517,1960-01-01,Arkopharma Lab.,Zone Industr. B.P.28,,-,Carros Index,FR,FR,,,,28,,,
02540,1960-01-01,Ceva Santé Animale,Avenue de La Ballastière,10,33500,Libourne,FR,FR,,,,,,,
03562,1960-01-01,3 M Espe,Espe Platz,,82229,Seefeld,DE,DE,AG,,,,,,
04505,1960-01-01,Chanelle Pharmaceuticals Manufacturing,IDA Business & Technology Park,,-,"Loughrea,Co Galway",IE,EN,Ltd,,,,,,
04507,1960-01-01,Norton (Waterford),Industrial Park Unit,301,,Waterford,IE,EN,Ltd,,,,,,
04514,1960-01-01,Ivowen,,,,"Clonmel, Co Tipperary",IE,EN,Ltd,,,,,,
04526,1960-01-01,Innocoll Pharmaceuticals,,,,Athlone Co.Westmeath,IE,EN,Ltd,,,,,,
05003,1960-01-01,Laboratoire des Spécialités du Dr. Ernst's,Parc d'Activités,83,8308,Capellen,LU,FR,SA,,,,,,
